#,PLAYS,PERS,FORMATION
0,2 Y-WHAM,RAN,YR-SALSA SP RT R-CASPER 
1,2 W-WHAM,RAN,YR-WALTZ SP RT
2,2 Y-WHAM,RAN,YR-TANGO WHIP QDS RT R-CASPER
3,(R-CASPER GIVE) 2 Y-WRAP,RAN,YR-TANGO WHIP QDS RT
4,32 Y-WHAM,RAN,PARTY QDS RT BUN
5,22 Y-WHAM,G,HORSES RT TITE
6,2 Y-WHAM X-GHOST,RAN,STL SP RT BUN ZAX R-CASPER
7,2 Y-WRAP (X-GHOST GIVE),RAN,STL SP RT BUN ZAX
8,(R-CASPER GIVE) 2 Y-WHAM,RAN,STL SP RT BUN ZAX
9,2 Y-ZAP RAKE,RAN,YR-SALSA WHIP SP RT R-CAPSER
10,3 ZAP CAPTAIN SW,RAN,YR-SALSA SP RT RAY
12,3 ZAP ROCKER X-LION,RAN,(FIB) SP LT WAX
13,3 Y-ZAP RAKE SILVER,RAN,(FIB) Y-FLY SP LT AXE
14,3 R-ZAP SHIELD,RAN,YR-WALTZ SP RT
15,3 R-ZAP COLONEL Y-SILVER,RAN,YR-WALTZ SP RT
16,2 W-ZAP BRONZE,RAN,YR-WALTZ SP RT AXE
17,2 R-ZAP SNAKE,RAN,STILL QDS RT BUN
18,3 ZAP ERIE W-SILVER,RAN,STILL QDS RT BUN
19,POP 3 RY-ZORRO R-SHIELD,RAN,YR-TANGO QDS RT
20,2 R-ZORRO RAKE,RAN,YR-WALTZ SP RT
21,32 ZIMBA DUPLEX R-RAMBO,REB,SP RT RAY 
23,23 ZIMBA TRIPLEX,REB,SP RT 
24,23 ZIMBA CAPTAIN X-ANGLE,RAN,QDS YAX Y-TUFF 
25,32 S-SPEEDO Y-ARC,RAN,SP RT RAY Y-TUFF FLEX
26,2 X-SPEEDO S-SHARK,RAN,YOYO SP RT RAX X-SPIRIT
27,7 Y-BOSS,RAN,YX-SALSA RIP SP RT
28,(X-CASPER GIVE) 7 Y-SPOOK,RAN,YX-SALSA RIP SP RT
29,7 Y-BOSS,RAN,YR-TANGO QDS RT
30,6 W-WHAM,RAN,R-FLY YOYO SP RT Y-TUFF X-PILE
31,7 Y-BOSS,RAN,STL SP RT BUN ZAX R-CASPER
32,(R-CASPER GIVE) 7 Y-SPOOK,RAN,STL SP RT BUN ZAX
34,35 TRAIN Y-BOSS,RAN,YX-TANGO QDS RT RAX
35,15 TRAIN X-BASH S-SHARK,RAN,YOYO SP RT RAX
36,15 TRAIN S-ROSE ,RAN,STL QDS RT BUN
37,28 H-TEX YW-CRACK,G,HORSES RT TITE
38,(X-CASPER GIVE) 8 Y-TEX S-LOAD,RAN,YOYO SP RT RAX
39,19 R-TEX S-LOAD,RAN,SP RT XR SNUG X-GHOST
40,CHAINS,EPHTS,X-CHILL RHINO RT
41,EAST/WEST LEAD,EPHTS,X-CHILL RHINO RT
42,CHAINS,RAN,SP RT WAR DOT X-DANCE
43,EAST/WEST CHAINS XR-PIN S-SHARK,RAN,SQUEEZE SP RT W-CAS X-GHO
45, 3 ZAP BOOT Y-PIN COBRA X-BLADE,RAN,YR-TANGO QDS RT
46,7 BOOT Y-SLAM POGO R-OCEAN X-UNDER ,RAN,YX-SALSA RIP SP RT
47,POP CASPER 260 R-STEAL DAYTONA  ,RAN,YOYO SP RT RAX 
48,7 BOOT Y-PIN ERIE X-BLADE,RAN,YR-TANGO QDS RT
49,POP 2 Y-WHAM X-GHOST POGO W-OCEAN,RAN,STL SP RT BUN ZAX 
50,POP 6 W-WHAM POGO Y-CROW Z-OUTLAW,RAN,R-FLY YOYO SP RT Y-TUFF X-PILE
51,POP EAST LEAD F-BOSS X-CORNER,EPHTS,X-CHILL RHINO RT
52,HOT 50 S-RAMBO X-LION,RAN,YOYO WK SP RT WAR
53,HOT 50 R-RAM,RAN,WHIP HOLLOW RT STAR RAS
54,POP 3 ZAP X-RAMBO,RAN,SP RT XR-SNUG X-GHOST 
56,HOT 50 X-RAM S-SHARK,RAN,QDS RT YAX Y-TUFF WX STACK
57,HOT 50 S-SHIELD TRADE Y-ARC,RAN,Y-FLOAT R-DISCO QDS RT
58,75 DAVID OR DARIUS,RAN,Y-FLY SP RT AXE
59,HOT 60 THIEF,RAN,   Y-FLY SP RT
60,HOT 61 THIEF ,RAN,YOYO WK SP RT Y-PILE
61,HOT 50 THIEF R-SIT,RAN,HOLLOW RT RAS
62,HOT 60 STICK X-SPACING S-WIDE,RAN,YR-WALTZ SP RT
63,HOT 60 STICK WALL X-SIT,RAN,Y-FLOAT R-DISCO QDS RT
64,HOT 60 STICK W-SIT X-OUTLAW,RAN,PARTY QDS BUNCH RT
65,HOT 61 OUTLAW R-SPACING S-WIDE,RAN,SP RT RAY Y-TUFF FLEX
67,HOT 61 OUTLAW Y-SIT,RAN,SQUEEZE WK SP RT BUNCH
68,HOT 61 OUTLAW W-SPACING S-WIDE,RAN,STL SP RT BUN ZAX
69,HOT 60 BENCH MUDD,RAN,SP RT RAY
70,HOT 60 MUDD Y-STEAL X-OUTLAW,REB,QUADS RT RAY 
71,HOT 50 BENCH MUDD Y-SIT,REB,SOAR HOLLOW RT
72,HOT 74 STAY CHERRY X-SIT,RAN,YR-SALSA SP RT RAY
73,HOT 60 CHERRY X-SPACING,REB,Y-FLY SP RT X-PILE
74,HOT 61 CERISE STEAL,RAN,WK SP WAR 
75,61 DAYTONA CADET S-FLAT,REB,SP RT 
76,60 FLORIDA X-ZOOM,REB,R-FLY SP RT X-PILE
78,60 STAY FLORIDA Y-FENCE-X,RAN,Y-FLOAT R-DISCO QDS RT
79,61 CADET Y-CROW W-IPOD,RAN,YR-SALSA SP RT
80,75 RX-CADET POISON,RAN,Y-FLY SP RT WAX 
81,BLUE Y-PIN Z-COP R-DRIVE,RAN,R-FLY YOYO SP RT Y-TUFF Z-STACK
82,60 X-COP SW W-FENCE R,RAN,STL SP RT BUN ZAX
83,74 COLONEL X-APPLE,RAN,YR-SALSA SP RAY ZIP
84,70 CAPTAIN TRADE X-OUTLAW,G,Y-FLY HORSES RT TITE 
85,61 CAPTAIN SHUFFLE BURP,REB,Y-FLY SP RT
86,61 CAPTAIN MOHAWK,RAN,YR-SALSA SP RT RAY
87,SCAT 64 W-ERIE R-DRIVE,RAN,TRIAD WK SP RT
89,74 FLOOD,RAN,QDS RT YAX Y-TUFF RX FLIP
90,BLUE Y-PIN WALDO X-ZOOM,RAN,YR-TANGO QUADS RT
91,75 STAY R-STEM X-CROW IPOD,RAN,YX-TANGO QDS RT RAX
92,60 SHIRLEY X-SPACING,RAN,Y-FLY R-SHAVE SP RT
93,74 SHIRLEY SHUFFLE,RAN,YR-SALSA WHIP SP RT STAR RAY
94,60 AL X-ZOOM,RAN,YOYO SP RT X-PILE
95,SCAT 65 AL W-CROW Z-APACHE,RAN,TRIAD SP RT 
96,60 CHEROKEE HARPOON,RAN,Y-FLY SP RT X-PILE
97,60 BRAVES BENCH,RAN,Y-FLY SP RT X-PILE
98,61 R-COUCH W-CROW Y-IPOD,RAN,TRIAD SPREAD RT YW-PAIR
101,75 STAY COUCH W-CROW Z-PONY,RAN,YR-WALTZ SP RT WHIP
102,61 R-BIRCH Y-CROW Z-APACHE,RAN,Y-FLY SP RT
103,75 STAY R-BIRCH W-CROW Z-PONY,RAN,RY-WALTZ SP RT WHIP
104,75 PONY W-FLAT X-THIEF,RAN,R-CHILL STIL QDS RT BUNCH ZAR
105,74 PONY R-WHEEL X-OUTLAW,RAN,SP RAY STAR X-PILE
106,61 IPOD SW Y-CROW W-CADET,RAN,TRIAD SP RT (ABDALA)
107,60 STAY W-SLAM X-SCISSORS Y-BANG W-DRIVE,RAN,Y-FLING WK SP RT (BEN)
108,SCAT 65 X-SCISSORS R-FLAT W-STEAL Y-UNDER,RAN,SP RT XR SNUG (BEN)
109,60 W-POGO Y-CROW R-CADET ,REB,WK SP RT ZIP
120,75 W-POGO X-CADET,RAN,SP RT WAX (ABDALA)
121,61 HALIFAX,RAN,Y-FLY WK SP RT WAR
123,60 FRESNO S-WIDE,RAN,TRIAD SP RT YW-PAIR
124,74 DIRT,RAN,WK SP RT WAX
125,SCAT 65 X-SILVER R-RAVEN APACHE,RAN,PARTY QDS RT BUNCH
126,SCAT 65 X-RAKE SILVER W-PONY,RAN,TRIAD SP RT
127,74 RUBY,RAN,RX-TANGO QDS RT YAX Y-TUFF
128,75 ZEPHYR X-APPLE,RAN,RIP QDS RT R-ON
129,60 S-LIGHT R-RAM,RAN,Y-FLOAT R-DISCO QDS RT  
130,POP EAST LEAD SPECIAL,EPHTS,X-CHILL RHINO RT
