PLAY #,EVENT,SCORE,CLOCK,QTR,HASH,YARD LN,FIELD ZONE,DN,DIST,SITUATION (O),SITUATION (AFTER),PLAY TYPE,RESULT,GN/LS,REDMEN OFF PLAY,OFF PLAY,OPRS,BACKFIELD,REC ALIGNMENT,MOTION,ARRIVE AT MESH,CONCEPT,PLAY FAMILY,PROTECTION,DPRS,DEF FRONT,FRONT TYPE,SHOW,STUNT,DOG,BLITZ,NBR,PRESSURE PATTERN,PSL - MOF,COVERAGE,COVERAGE ADJUST,QUICK,NED,NOSE,TEX,RUSH,END,WILL,OSCAR,MIKE,STAR,ODK
1,MTL-DEF -- CON-OFF,MTL-07 VS CON-00,09:27,1,R,-33,OF,1,10,P+10,AFTER KO - TD,Run,Rush,-1,,IZ LOCK ST OPT SPOT,REB,P,32,,,IZ,2/3 ZIMBA,,30 BASE,34,ODD,O-MUG,NO,OA,,4,3 DOWN -- 4M,SINGLE,4,,MTL-94,,MTL-98,,,MTL-93,MTL-19,MTL-52,MTL-05,MTL-21,D
2,MTL-DEF -- CON-OFF,MTL-07 VS CON-00,08:38,1,R,-32,OF,2,11,2+VERY LONG,AFTER RUN,Pass,Complete,16,,HORIZONTAL STRETCH,REB,GW,32,,,DROPBACK,,SCAT 50/51,30 BASE,34,ODD,STING,,O1,,3,3 DOWN -- 3M (N-DROP),FLAT TOP,3DC,,MTL-94,,MTL-98,,,MTL-93,MTL-19,MTL-52,MTL-05,MTL-21,D
3,MTL-DEF -- CON-OFF,MTL-07 VS CON-00,08:08,1,L,-48,OF,1,10,C+10,AFTER COMPLETE PASS,Pass,Incomplete,0,,FLOOD,REB,P,23,AXE,,IZ,,POP 2/3 ZIMBA,30 BASE,34,ODD,,WHIP,O1M2,,5,3 DOWN -- 5M,SINGLE,10,,MTL-94,,MTL-98,,,MTL-93,MTL-19,MTL-52,MTL-05,MTL-21,D
4,MTL-DEF -- CON-OFF,MTL-07 VS CON-00,07:39,1,L,-48,OF,2,10,2+LONG,AFTER INCOMPLETE PASS,Pass,Sack,-3,,VERTICALS,REB,GW,32,SAIL,,DROPBACK,,SCAT 50/51,30 BASE,34,ODD,,,,,3,3 DOWN -- 3R,,2 MAN,,MTL-94,,MTL-98,,,MTL-93,MTL-19,MTL-52,MTL-05,MTL-21,D
5,MTL-DEF -- CON-OFF,MTL-07 VS CON-00,03:28,1,R,-20,OF,1,10,P+10,AFTER PUNT,Run,Rush,2,,"POWER WK OPT SWING SCREEN, SYRACUSE",REB,P,41,ZIP,,GAP,GUARD 5TH,,40 BASE,41 EVEN,EVEN,,RT+QN,,,4,4 DOWN -- 4R,TWIX,4,ROTATE,MTL-94,MTL-97,,MTL-98,MTL-93,,MTL-19,,MTL-05,MTL-21,D
6,MTL-DEF -- CON-OFF,MTL-07 VS CON-00,02:46,1,R,-22,OF,2,8,2+LONG,AFTER RUN,Pass,Incomplete,0,,COUCH,REB,GW,32,FLY,,DROPBACK,,60/61,40 BASE,41 EVEN,EVEN,,TR+NQ,,,4,4 DOWN -- 4R,TWIX,2 MAN,,MTL-94,MTL-97,,MTL-98,MTL-93,,MTL-19,,MTL-05,MTL-21,D
7,MTL-DEF -- CON-OFF,MTL-14 VS CON-00,13:55,2,R,-29,OF,1,10,P+10,AFTER KO - TD,Pass,Complete,11,,"RAMBO, X-OUTLAW",RAN,P,32T,,,IZ,2/3 ZIMBA,,30 BASE,33 STACK,ODD,W-JET,DBL BNG,MCW3,,5,3 DOWN -- 5O,SINGLE,10,,MTL-94,,MTL-97,,,MTL-93,MTL-19,MTL-52,MTL-05,MTL-21,D
8,MTL-DEF -- CON-OFF,MTL-14 VS CON-00,13:35,2,R,-40,OF,1,10,C+10,AFTER COMPLETE PASS,Run,Rush,5,,IZ LOCK ST OPT MIAMI,REB,P,32,,,IZ,2/3 ZIMBA,,30 BASE,34,ODD,,,,,3,3 DOWN -- 3R,SINGLE,4,,MTL-94,,MTL-97,,,MTL-93,MTL-19,MTL-52,MTL-05,MTL-21,D
9,MTL-DEF -- CON-OFF,MTL-14 VS CON-00,13:01,2,R,-45,OF,2,5,2+MEDIUM,AFTER RUN,,Penalty,-5,,,,,41,,,,,,30 BASE,34,ODD,,,,,3,3 DOWN -- 3R,TWIX,3X,ROTATE,MTL-94,,MTL-97,,,MTL-93,MTL-19,MTL-52,MTL-05,MTL-21,D
10,MTL-DEF -- CON-OFF,MTL-14 VS CON-00,12:42,2,R,-40,OF,2,10,2+LONG,AFTER PENALTY,Pass,Complete,10,,CORNER,REB,GS,42,BOMBER,,DROPBACK,,60/61,30 BASE,34,ODD,M-MUG O-MUG W-JET,,O1,,3,3 DOWN -- 3M (N-DROP),FLAT TOP,3DC,,MTL-94,,MTL-97,,,MTL-93,MTL-19,MTL-52,MTL-05,MTL-21,D
