DN,DIST,Hash,PERSONNEL,OFF PLAY,FRONT,COV,Def Front,stunt,Blitz,Coverage,Peel,CV TYPE,G
1,10,L,15,YR-SALSA SPREAD RT RAY HOT 60 STICK X-SPACING (25),IN,2FLIP,IN,,,2FLIP,,,
2,10,L,15,SPREAD RT RAY X-PILE 74 BOB X-OUTLAW (39),BANDIT,TEFFLON,BANDIT,,,TEFF,,,
2,5,M,15,SPREAD RT YW-PAIR 61 COUCH W-CROW Z-APACHE (36),OUT A,GRN MUG,OUT,A,,GRN,,MUG,
1,10,R,15,YR-SALSA SPREAD LT RAY 75 CAPTAIN SW X-PONY (28),BANDIT,2FLIP,BANDIT,,,2FLIP,,,
1,10,R,15,SPREAD LT RAY X-PILE 60 DAYTONA COP (31),IN,RED,IN,,,RED,,,
2,8,L,15,SPREAD RT YW-PAIR 61 COUCH W-CROW Z-APACHE (36),GAP,HALO,GAP,,,HALO,,,
2,5,L,15,SPREAD RT RAY X-PILE 74 BOB X-OUTLAW (39),CB ,BLACK MUG,CB,,,BLK,,MUG,
1,10,M,15,YR-SALSA SPREAD RT RAY 74 CAPTAIN SW X-PONY (28),OUT,RED,OUT,,,RED,,,
1,10,R,15,SPREAD LT RAY X-PILE 60 DAYTONA COP (31),BANDIT,2FLIP,BANDIT,,,2FLIP,,,
1,10,R,15,YR-SALSA SPREAD LT RAY HOT 61 STICK X-SPACING (25),IN,GRN MUG,IN,,,GRN,,MUG,
2,10,L,15,SPREAD LT YW-PAIR 60 COUCH W-CROW Z-APACHE (36),GAP,HALO,GAP,,,HALO,,,
2,5,L,15,YR-SALSA SPREAD RT RAY 74 CAPTAIN SW X-PONY (28),RS ,BLACK MUG,RS,,,BLK,,MUG,
1,10,M,15,SPREAD RT RAY X-PILE 61 DAYTONA COP (31),BANDIT,2FLIP,BANDIT,,,2FLIP,,,
2,10,R,15,SPREAD LT YW-PAIR 60 COUCH W-CROW Z-APACHE (36),IN,HALO,IN,,,HALO,,,
2,4,R,15,YR-SALSA SPREAD LT RAY HOT 61 STICK X-SPACING (25),BANDIT,YEL SW,BANDIT,,,YEL SW,,,
