DN,DIST,Hash,PERSONNEL,OFF PLAY,FRONT,COV,Def Front,stunt,Blitz,Coverage,Peel,CV TYPE,G
,,,,,,,,,,,,,
1,10,L,15,YR-SALSA SPREAD RT RAY HOT 60 STICK X-SPACING (25),IN,2FLIP,IN,,,2FLIP,,,
2,10,L,15,SPREAD RT RAY X-PILE 74 BOB X-OUTLAW (39),BANDIT,TEFFLON,BANDIT,,,TEFF,,,
2,5,M,15,SPREAD RT YW-PAIR 61 COUCH W-CROW Z-APACHE (36),OUT A,GRN MUG,OUT,A,,GRN,,MUG,
1,10,R,15,YR-SALSA SPREAD LT RAY 75 CAPTAIN SW X-PONY (28),BANDIT,2FLIP,BANDIT,,,2FLIP,,,
1,10,R,15,SPREAD LT RAY X-PILE 60 DAYTONA COP (31),IN,RED,IN,,,RED,,,
2,8,L,15,SPREAD RT YW-PAIR 61 COUCH W-CROW Z-APACHE (36),GAP,HALO,GAP,,,HALO,,,
2,5,L,15,SPREAD RT RAY X-PILE 74 BOB X-OUTLAW (39),CB ,BLACK MUG,CB,,,BLK,,MUG,
1,10,M,15,YR-SALSA SPREAD RT RAY 74 CAPTAIN SW X-PONY (28),OUT,RED,OUT,,,RED,,,
1,10,R,15,SPREAD LT RAY X-PILE 60 DAYTONA COP (31),BANDIT,2FLIP,BANDIT,,,2FLIP,,,
1,10,R,15,YR-SALSA SPREAD LT RAY HOT 61 STICK X-SPACING (25),IN,GRN MUG,IN,,,GRN,,MUG,
2,10,L,15,SPREAD LT YW-PAIR 60 COUCH W-CROW Z-APACHE (36),GAP,HALO,GAP,,,HALO,,,
2,5,L,15,YR-SALSA SPREAD RT RAY 74 CAPTAIN SW X-PONY (28),RS ,BLACK MUG,RS,,,BLK,,MUG,
1,10,M,15,SPREAD RT RAY X-PILE 61 DAYTONA COP (31),BANDIT,2FLIP,BANDIT,,,2FLIP,,,
2,10,R,15,SPREAD LT YW-PAIR 60 COUCH W-CROW Z-APACHE (36),IN,HALO,IN,,,HALO,,,
2,4,R,15,YR-SALSA SPREAD LT RAY HOT 61 STICK X-SPACING (25),BANDIT,YEL SW,BANDIT,,,YEL SW,,,
,,,,,,,,,,,,,
1,10,L,15,YR-TANGO QUADS RT 32 Y-WHAM (2),CB D JET,HOLD,CB D CB D,,JET,HOLD,,,
2,3,L,15,Y-FLOAT SPREAD RT WAR 3 ZAP CAPTAIN SHUFFLE (10),RS R,BLACK MUG,RS,RUN,,BLK,,MUG,
1,10,M,15,YR-TANGO QUADS RT [R-CASPER GIVE] 2 Y-WRAP (4),GAP,2FLIP,GAP,,,2FLIP,,,
2,8,R,15,YR-SALSA SPREAD LT RAY 75 CAPTAIN SW X-PONY (28),BANDIT,YELLOW SW,BANDIT,,,YEL,,,
2,10,R,15,SPREAD LT RAY X-PILE 75 BOB X-OUTLAW (39),TAR/QK,HALO,,TAR/QK,,HALO,,,
1,10,L,15,YR-TANGO QUADS RT R-CASPER 2 Y-WHAM (3),BANDIT,TEFFLON,BANDIT,,,TEFF,,,
2,10,L,15,SPREAD RT YW-PAIR 61 COUCH W-CROW Z-APACHE (36),GAP FULL,BLACK P MUG PE,GAP GAP,,FULL,BLK,,MUG,
2,3,M,15,Y-FLY SPREAD RT R-CASPER 2 Y-WHAM (0),OUT A,GRN MUG,OUT,A,,GRN,,MUG,
1,10,R,15,Y-FLY SPREAD LT HOT 61 THIEF (22),BAN JET/HAM,HOLD,,,JET/HAM,HOLD,,,
1,10,R,15,Y-FLY SPREAD LT 2 ZAP COLONEL (8),OUT KN,RED,OUT,KN,,RED,,,
1,10,L,15,Y-FLOAT SPREAD RT 3 R-ZAP SHIELD (11),GAP,2FLIP,GAP,,,2FLIP,,,
2,5,L,15,YR-SALSA SPREAD RT RAY HOT 60 STICK X-SPACING (25),GAP STRIKE,HOLD,GAP,,STRIKE,HOLD,,,
2,10,M,15,Y-DISCO WK SPREAD RT WAR 61 HALIFAX (33),BANDIT,2FLIP,BANDIT,,,2FLIP,,,
1,10,R,15,Y-FLY SPREAD LT 2 ZAP COLONEL (8),RS HAMMER,HOLD,RS RS,,HAM,HOLD,,,
2,3,R,15,Y-FLOAT SPREAD LT WAR 2 ZAP CAPTAIN SHUFFLE (10),CB R A,BLACK MUG,CB,A RUN,,BLK,,MUG,
1,10,L,15,Y-FLY SPREAD RT R-CASPER 2 Y-WHAM (0),GAP FULL,BLACK MUG PE,GAP GAP,,FULL,BLK,,MUG,
2,10,L,15,SPREAD RT RAY X-PILE 74 BOB X-OUTLAW (39),RAT/QK,HALO,CASH or OUT,RAT/QK,,HALO,,,
2,8,M,15,Y-DISCO WK SPREAD RT WAR 61 HALIFAX (33),BANDIT,TEFFLON,BANDIT,,,TEFF,,,
1,10,R,15,Y-FLY SPREAD LT 3 Y-ZAP ERIE (9),GAP,2FLIP,GAP,,,2FLIP,,,
2,3,R,15,Y-FLOAT SPREAD LT 3 R-ZAP SHIELD (11),OUT A K,GRN MUG,OUT,A,,GRN,,MUG,
2,10,L,15,SPREAD RT YW-PAIR 61 COUCH W-CROW Z-APACHE (36),TAR/NOSE,HALO,OUT,TAR/NOSE,,HALO,,,
1,10,L,15,Y-FLY SPREAD RT 2 Y-ZAP ERIE (9),BANDIT,TEFFLON,BANDIT,,,TEFF,,,
1,10,M,15,Y-FLY SPREAD RT [R-CASPER GIVE] 2 Y-WHAM (1),GAP STRIKE,HOLD,GAP,,STRIKE,HOLD,,,
2,8,R,15,YR-SALSA SPREAD LT RAY 75 CAPTAIN SW X-PONY (28),IN,2FLIP,IN,,,2FLIP,,,
2,6,R,15,SPREAD LT YW-PAIR 60 COUCH W-CROW Z-APACHE (36),TAR/QK,2FLIP,,TAR/QK,,2FLIP,,,
1,10,L,15,YR-TANGO QUADS RT R-CASPER 2 Y-WHAM (3),BANDIT JET/HAM,HOLD,BANDIT,,JET/HAM,HOLD,,,
2,10,L,15,Y-DISCO WK SPREAD RT WAR 61 HALIFAX (33),BANDIT,YEL SW,BANDIT,,,YEL SW,,,
