DN,DIST,Hash,PERSONNEL,OFF PLAY,FRONT,COV,Def Front,stunt,Blitz,Coverage,Peel,CV TYPE
1,10,L,15,PARTY QUADS RT BUNCH 32 R-ZAP PACINO (12) ,GAP,SNIFF SAM MATCH,GAP,,,SNI S M,,
2,10,L,15,Y-FLOAT RIP SPREAD RT 60 AZTEC HARPOON  (40),BANDIT MILF,BLACK MUG PEEL,BANDIT BANDIT,,MILF,BLK,,MUG
1,10,M,15,PARTY QUADS RT BUNCH 60 ERIE W-SPLIT X-APPLE  (32),RS D WEEP,HOLD,RS D,WEEP,,HOLD,,
2,8,R,15,TRIAD SPREAD LT YW-PAIR 60 COUCH W-CROW Z-APACHE (37),TAR/QK,2FLIP,,TAR/QK,,2FLIP,,
1,10,R,15,Y-FLOAT SPREAD LT WAR 2 ZAP CAPTAIN SHUFFLE (10),BANDIT,TEFFLON,BANDIT,,,TEFF,,
1,10,L,15,SPREAD RT YW-PAIR 60 FRESNO S-WIDE (35),GAP STRIKE,HOLD,GAP,,STRIKE,HOLD,,
2,10,L,15,Y-FLOAT RIP SPREAD RT 60 CHEROKEE PONY SW (38),BANDIT,PIPES,BANDIT,,,PIPES,,
2,3,M,15,SPREAD RT YW-PAIR 60 FRESNO S-WIDE (35),OUT A K,RED BAM,OUT,A,,BAM,,
1,10,R,15,YR-TANGO QUADS LT 23 Y-WHAM (2),BANDIT JET/HAM,HOLD,BANDIT,,JET/HAM,HOLD,,
1,10,R,15,PARTY QUADS LT BUNCH HOT 61 STICK W-SIT X-OUTLAW (26),RS WAR,HOLD,RS,,WAR,HOLD,,
2,10,L,15,Y-FLOAT RIP SPREAD RT 60 AZTEC HARPOON  (40),IN A,HALO,IN,A,,HALO,,
2,5,L,15,YR-SALSA SPREAD RT RAY HOT 60 STICK X-SPACING (25),BANDIT MILF,BLACK MUG PEEL,BANDIT BANDIT,,MILF,BLK,,MUG
1,10,M,15,Y-FLY SPREAD RT R-CASPER 2 Y-WHAM (0),CB D RAW,HOLD,CB D CB D or RS D,RUN,RAW,HOLD,,
2,3,R,15,SPREAD LT YW-PAIR 61 FRESNO S-WIDE (35),BANDIT SAW,HOLD,BANDIT BANDIT,,SAW,HOLD,,
2,8,R,15,PARTY QUADS LT BUNCH 61 ERIE W-SPLIT X-APPLE  (32),TAR/NOSE,RED BAM,OUT,TAR/NOSE,,BAM,,
1,10,L,15,YR-SALSA SPREAD RT RAY HOT 60 STICK X-SPACING (25),IN A ,SNIFF SAM MATCH,IN,A,,SNI S M,,
2,10,L,15,Y-FLOAT RIP SPREAD RT 60 CHEROKEE PONY SW (38),CB SWEEP,BLACK MUG,CB,SWEEP,,BLK,,MUG
1,10,M,15,Y-FLOAT RIP SPREAD RT 60 AZTEC HARPOON  (40),GAP,2FLIP,GAP,,,2FLIP,,
1,10,R,15,TRIAD SPREAD RT YW-PAIR 61 COUCH W-CROW Z-APACHE (37),GAP STRIKE,HOLD,GAP,,STRIKE,HOLD,,
2,4,R,15,SPREAD LT YW-PAIR 61 FRESNO S-WIDE (35),BANDIT,2FLIP,BANDIT,,,2FLIP,,
2,10,L,15,Y-FLOAT RIP SPREAD RT 60 AZTEC HARPOON  (40),BANDIT,PIPES,BANDIT,,,PIPES,,
1,10,L,15,YR-SALSA SPREAD RT RAY 74 CAPTAIN SW X-PONY (28),HAMMER,HOLD,RS,,HAM,HOLD,,
