DN,DIST,Hash,PERSONNEL,OFF PLAY,FRONT,COV,Def Front,stunt,Blitz,Coverage,Peel,CV TYPE
1,10,L,15,R-FLY SP RT X-PILE 60 FLORIDA X-ZOOM (76),GAP,2FLIP,GAP,,,2FLIP,,
1,10,L,15B,Y-FLY SP RT 61 R-BIRCH Y-CROW Z-APACHE (102),IN A,RED BAM,IN,A,,BAM,,
1,10,LM,15B,Y-FLOAT R-DISCO QDS RT HOT 60 STICK WALL X-SIT (63),OUT A/K,GRN M,OUT,A/K,,GRN,,
1,10,R,15B,YR-SALSA SP LT 60 CADET Y-CROW IPOD,GAP,SN S M,GAP,,,SN S M,,
1,10,R,15,R-FLY SP LT X-PILE 61 FLORIDA X-ZOOM (76),BANDIT,TEFFLON,BANDIT,,,TEFF,,
1,10,L,15B,Y-FLY SP RT 61 R-BIRCH Y-CROW Z-APACHE (102),GAP,2 FLIP,GAP,,,2FLIP,,
1,10,L,15B,SQUEEZE WK SP RT BUNCH HOT 61 OUTLAW Y-SIT (67),OUT A/K,RED BAM,OUT,A/K,,BAM,,
1,10,RM,15B,TRIAD SP LT 60 IPOD SW Y-CROW W-CADET (106),GAP,SN S M,GAP,,,SN S M,,
1,10,R,15B,Y-FLOAT R-DISCO QDS LT HOT 61 STICK WALL X-SIT (63),OUT,GRN M,OUT,,,GRN,,
1,10,R,15B,Y-FLY SP LT 60 R-BIRCH Y-CROW Z-APACHE (102),GAP,SN S M,GAP,,,SN S M,,
1,10,L,15B,TRIAD SP RT 61 IPOD SW Y-CROW W-CADET (106),IN A,RED,IN,A,,RED,,
1,10,L,15B,SQUEEZE WK SP RT BUNCH HOT 61 OUTLAW Y-SIT (67),IN,GRN M,IN,,,GRN,,
1,10,LM,15,SP RT 61 DAYTONA CADET S-FLAT (75),BANDIT,TEFFLON,BANDIT,,,TEFF,,
