DN,DIST,Hash,OFF PLAY,FRONT,COV,Def Front,stunt,Blitz,Coverage,Peel,CV TYPE,PERSONNEL
2,6,L,YR-WALTZ SP RT Y-STACK 60 FRESNO S-WIDE (123),IN A,TUFF,IN,A,,TUFF,,,
2,6,L,SP RT RAY HOT 60 BENCH MUDD (69),EVEN,ROT SW,EVEN,,,ROT SW,,,
1,10,LM,R-FLY YOYO SP RT Y-TUFF Z-STACK BLUE Y-PIN Z-COP R-DRIVE (81),SMURF,ORANGE,BANDIT,,SMURF,ORANGE,,,
2,4,R,YOYO SP RT RAX 15 TRAIN X-BASH S-SHARK (35),MOW F,ZORRO,EVEN,,MOW F,ZORRO,,,
1,10,R,TRIAD WK SP RT SCAT 64 W-ERIE R-DRIVE (87),WEASEL,HOLD,50,,WEASEL,HOLD,,,
2,5,L,YR-WALTZ SP RT Y-STACK 60 FRESNO S-WIDE (123),GAP RENT,2FLIP,GAP,RENT,,2FLIP,,,
2,6,L,SP RT RAY HOT 60 BENCH MUDD (69),MILF,BLACK PL M,BANDIT,,MILF,BLK,PL,,
2,10,RM,YOYO SP RT X-PILE 60 AL X-ZOOM (94),BANDIT,DEUCES,BANDIT,,,DEUCES,,,
2,4,R,HORSES RT TITE 28 H-TEX YW-CRACK (37),EVEN,GRN M,EVEN,,,GRN,,,
1,10,R,TRIAD WK SP RT SCAT 64 W-ERIE R-DRIVE (87),TAR/NS,TUFF,CASH or IN or OUT or OUT SW RPO,TAR/NS,,TUFF,,,
2,3,L,SP RT RAY HOT 60 BENCH MUDD (69),BANDIT,TOONIE M,BANDIT,,,TOONIE,,,
2,10,L,R-FLY YOYO SP RT Y-TUFF Z-STACK BLUE Y-PIN Z-COP R-DRIVE (81),OUT A,ROT SW,OUT,A,,ROT SW,,,
2,6,LM,YOYO SP RT X-PILE 60 AL X-ZOOM (94),IN A,DEUCES,IN,A,,DEUCES,,,
2,6,R,TRIAD WK SP RT SCAT 64 W-ERIE R-DRIVE (87),GAP RENT,GRN OF,GAP,RENT,,GRN,,,
1,10,R,R-FLY YOYO SP RT Y-TUFF Z-STACK BLUE Y-PIN Z-COP R-DRIVE (81),50,HOLD,50,,,HOLD,,,
2,4,L,STILL QUADS RT BUNCH RAX 15 TRAIN S-ROSE (36),CB D SW,BLACK,CB D,,,BLK,,,
2,10,L,SP RT RAY HOT 60 BENCH MUDD (69),WAFFLE,COMBO,BANDIT,,WAFFLE,COMBO,,,
2,6,LM,YOYO SP RT X-PILE 60 AL X-ZOOM (94),FULL,BLACK PL M,GAP,,FULL,BLK,PL,,
