DN,DIST,Hash,OFF PLAY,FRONT,COV,Def Front,stunt,Blitz,Coverage,Peel,CV TYPE,PERSONNEL
1,10,L,YX TANGO QUADS RT RAX 35 TRAIN Y-BOSS (34),50 WATER,BLACK M,50 W,WAT,,BLK,,,
2,4,L,YOYO SP RT RAX (X-CASPER GIVE) 8 Y-TEX S-LOAD (38),CB D SW,HOLD,CB D,,,HOLD,,,
1,10,LM,YOYO SP RT RAX 15 TRAIN X-BASH S-SHARK (35),J WK JACK,GRN O,,,,GRN,,,
2,3,R,STILL QUADS RT BUNCH RAX 15 TRAIN S-ROSE (36),RS D R,BLACK M,RS D,RUN,,BLK,,,
1,10,R,HORSES RT TITE 28 H-TEX YW-CRACK (37),CB SW,HOLD,CB,,,HOLD,,,
2,3,L,YX TANGO QUADS RT RAX 35 TRAIN Y-BOSS (34),J STR JACK,GREEN,,,,,,,
2,4,L,YOYO SP RT RAX (X-CASPER GIVE) 8 Y-TEX S-LOAD (38),CB D TAXI,TUFF,CB D,TAXI,,TUFF,,,
1,10,RM,HORSES RT TITE 28 H-TEX YW-CRACK (37),RS D R,HOLD,RS D,RUN,,HOLD,,,
1,10,R,YX TANGO QUADS RT RAX 35 TRAIN Y-BOSS (34),EVEN,RED CHECK,EVEN,,,RED,,,
2,3,R,YOYO SP RT RAX 15 TRAIN X-BASH S-SHARK (35),MOW,BLACK PL M,EVEN,,MOW,BLK,PL,,
1,10,L,STILL QUADS RT BUNCH RAX 15 TRAIN S-ROSE (36),RS D W,HOLD,RS D,,,HOLD,,,
2,4,L,HORSES RT TITE 28 H-TEX YW-CRACK (37),RS D NATTY,BLACK O,RS D,NATTY,,BLK,,,
1,10,LM,YOYO SP RT RAX 15 TRAIN X-BASH S-SHARK (35),GAP,2FLIP,GAP,,,2FLIP,,,
