DN,DIST,Hash,PERSONNEL,OFF PLAY,FRONT,COV,Def Front,stunt,Blitz,Coverage,Peel,CV TYPE
1,10,L,15B,YX-SALSA RIP SP LT 6 Y-BOSS (27),OVER,RED BAM,,,,,,
2,7,L,15B,WK SP WAR HOT 61 CERISE STEAL (74),OV MOWI,BLACK PEEL,,,,,,
2,4,LM,15B,YR-WALTZ SP LT Y-STACK 61 FRESNO S-WIDE (123),OUTLAW,ZORRO,,,,,,
1,10,R,15B,YOYO SP LT RAX (X-CASPER GIVE) 9 Y-TEX S-LOAD (38),IN A ,2FLIP IN,,,,,,
2,8,R,15B,YR-SALSA SP LT RAY 75 STAY CHERRY X-SIT (72),STR/WK,HOLD,,,,,,
1,10,L,15,SP RT RAY 32 ZIMBA DUPLEX R-RAMBO (21),JOK WK JAC,HOLD,,,,,,
2,10,L,15B,YR-WALTZ SP RT WHIP 75 STAY COUCH W-CROW Z-APACHE (101),TONIQ CLOSE,2FLIP IN,,,,,,
2,6,RM,15B,WK SP LT WAR HOT 60 CERISE STEAL (74),SAW READ,ZORRO,,,,,,
2,5,R,15B,SP LT RAY HOT 61 BENCH MUDD (69),IN A ,ROT SW,,,,,,
2,7,R,15B,YR-SALSA SP LT RAY 75 STAY CHERRY X-SIT (72),TAR/NOSE,DEUCES,,,,,,
2,10,L,15B,Y-FLY R-SHAVE SP RT 60 SHIRLEY X-SPACING (92),RAT/QK,2 FLIP,,,,,,
2,7,L,15B,YOYO SP LT X-PILE 61 AL X-ZOOM (94),OUT,FLOOD,,,,,,
1,10,LM,15B,STILL QUADS RT BUNCH RAX 15 TRAIN S-ROSE (36),UNDER,2FLIP IN,,,,,,
