DN,DIST,Hash,PERSONNEL,OFF PLAY,FRONT,COV,Def Front,stunt,Blitz,Coverage,Peel,CV TYPE
3,1,L,51,X-CHILL RHINO RT EAST/WEST LEAD (41),STOP,ZORRO,,,,,,
2,G,L,15B,SP RT WAX 75 W-POGO X-CADET (120),STOP,ZORRO,,,,,,
3,G,LM,51,X-CHILL RHINO RT POP EAST LEAD SPECIAL (130),STOP,ZORRO,,,,,,
3,1,R,51,X-CHILL RHINO LT WEST LEAD (41),STOP,ZORRO,,,,,,
2,1,R,51,X-CHILL RHINO LT POP WEST LEAD SPECIAL (130),OUTLAW,ZORRO,,,,,,
2,G,L,15B,SP RT WAX 75 W-POGO X-CADET (120),STOP,ZORRO,,,,,,
3,1,L,15B,SP RT WAR DOT X-DANCE CHAINS (42),STOP,ZORRO,,,,,,
2,G,RM,15,Y-FLY SP LT 60 CAPTAIN SHUFFLE BURP (85),STOP,ZORRO,,,,,,
2,G,R,15B,SP LT WAX 74 W-POGO X-CADET (120),STOP,ZORRO,,,,,,
2,1,R,15B,YOYO SP RT RAX X-SPIRIT 2 X-SPEEDO (26),OUTLAW,ZORRO,,,,,,
3,2,L,51,X-CHILL RHINO RT EAST/WEST LEAD (41),STOP,ZORRO,,,,,,
2,G,L,15B,Y-FLY SP RT 61 CAPTAIN SHUFFLE BURP (85),STOP,ZORRO,,,,,,
2,2,LM,51,X-CHILL RHINO RT POP EAST LEAD SPECIAL (130),OUTLAW,ZORRO,,,,,,
