DN,DIST,Hash,PERSONNEL,OFF PLAY,FRONT,COV,Def Front,stunt,Blitz,Coverage,Peel,CV TYPE
1,10,L,15B,YR-WALTZ SP RT 3 R-ZAP COLONEL Y-SILVER (15),UND DRI,BLACK PEEL,,,,BLK,,
2,8,L,15B,Y-FLY SP RT X-PILE 60 BRAVES BENCH (97),STR/WK,HOLD,,,,HOLD,,
2,10,LM,15B,WK SP RT WAX 74 DIRT (124),OUT,FLOOD,OUT,,,,,
1,10,R,15B,YX-SALSA RIP SP LT (X-CASPER GIVE) 6 Y-SPOOK (28),OVER,2FLIP IN,OVER,,,2FLIP,,
2,6,R,15B,SQUEEZE WK SP LT BUNCH HOT 60 OUTLAW Y-SIT (67),IN A,GREN O,IN,A,,,,
2,5,L,15B,YR-WALTZ SP LT Y-STACK 61 FRESNO S-WIDE (123),TAR/NS,ROT SW,CASH or IN or OUT or OUT SW RPO,TAR/NS,,ROT SW,,
2,10,L,15B,Y-FLY WK SP RT WAR 61 HALIFAX (121),BANDIT,HALO CUT,BANDIT,,,HALO CUT,,
1,10,RM,24,HORSES LT TITE 39 H-TEX YW-CRACK (37),UNDER,RED BAM,UNDER,,,BAM,,
2,7,R,15B,TRIAD WK SP LT SCAT 65 W-ERIE R-DRIVE (87),GAP,BANJO,GAP,,,BANJO,,
1,10,R,15B,YX TANGO QUADS LT RAX 24 TRAIN Y-BOSS (34),WAR,HOLD,,,,,,
2,7,L,15B,SP RT RAY HOT 60 BENCH MUDD (69),BANDIT,TOONIE,,,,,,
2,4,L,15B,YR-TANGO WHIP QDS RT (R-CASPER GIVE) 2 Y-WRAP (3),CB D TAXI,BLACK M,,,,,,
1,G,LM,15B,Y-FLOAT R-DISCO QDS RT HOT 60 STICK WALL X-SIT (63),GAP RENT,GRN M,,,,,,
2,G,R,15B,SP LT WAX 74 W-POGO X-CADET (120),OVER MOWI,BLACK PEEL,,,,,,
2,G,R,15,Y-FLY SP LT 60 CAPTAIN SHUFFLE BURP (85),STOP,ZORRO,,,,,,
2,G,L,51,X-CHILL RHINO RT POP EAST LEAD SPECIAL (130),STOP,ZORRO,,,,,,
1,10,L,15B,YOYO SP RT RAX 15 TRAIN X-BASH S-SHARK (35),OVER,2 FLIP,,,,,,
3,G,RM,15,WK SP LT ZIP 61 W-POGO R-CADET (109),IN A,DEUCES M,,,,,,
