DN,DIST,Hash,PERSONNEL,OFF PLAY,FRONT,COV,Def Front,stunt,Blitz,Coverage,Peel,CV TYPE
,,,,,,,,,,,,
1,10,L,15B,YX-SALSA RIP SP LT 6 Y-BOSS (27),OVER,RED BAM,,,,,,
2,7,L,15B,WK SP WAR HOT 61 CERISE STEAL (74),OV MOWI,BLACK PEEL,,,,,,
2,4,LM,15B,YR-WALTZ SP LT Y-STACK 61 FRESNO S-WIDE (123),OUTLAW,ZORRO,,,,,,
1,10,R,15B,YOYO SP LT RAX (X-CASPER GIVE) 9 Y-TEX S-LOAD (38),IN A ,2FLIP IN,,,,,,
2,8,R,15B,YR-SALSA SP LT RAY 75 STAY CHERRY X-SIT (72),STR/WK,HOLD,,,,,,
1,10,L,15,SP RT RAY 32 ZIMBA DUPLEX R-RAMBO (21),JOK WK JAC,HOLD,,,,,,
2,10,L,15B,YR-WALTZ SP RT WHIP 75 STAY COUCH W-CROW Z-APACHE (101),TONIQ CLOSE,2FLIP IN,,,,,,
2,6,RM,15B,WK SP LT WAR HOT 60 CERISE STEAL (74),SAW READ,ZORRO,,,,,,
2,5,R,15B,SP LT RAY HOT 61 BENCH MUDD (69),IN A ,ROT SW,,,,,,
2,7,R,15B,YR-SALSA SP LT RAY 75 STAY CHERRY X-SIT (72),TAR/NOSE,DEUCES,,,,,,
2,10,L,15B,Y-FLY R-SHAVE SP RT 60 SHIRLEY X-SPACING (92),RAT/QK,2 FLIP,,,,,,
2,7,L,15B,YOYO SP LT X-PILE 61 AL X-ZOOM (94),OUT,FLOOD,,,,,,
1,10,LM,15B,STILL QUADS RT BUNCH RAX 15 TRAIN S-ROSE (36),UNDER,2FLIP IN,,,,,,
,,,,,,,,,,,,
1,10,L,15B,YR-SALSA SP RT 61 CADET Y-CROW IPOD,UNDER,2 FLIP,UNDER,,,2FLIP,,
2,7,L,15B,SP RT RAY HOT 60 BENCH MUDD (69),GAP,BANJO,GAP,,,BANJO,,
2,4,LM,15B,SP RT RAY Y-TUFF FLEX HOT 61 OUTLAW R-SPACING S-WIDE (65),BANDIT,SNIFF ROB,BANDIT,,,SNI,,
1,10,R,15B,R-FLY YOYO SP LT Y-TUFF Z-STACK RED Y-PIN Z-COP R-DRIVE (81),IN A,SAND SAM LOCK,IN,A,,SAND,,
2,10,R,15B,Y-FLY SP LT X-PILE 61 CHEROKEE HARPOON (96),JOK ST,CAT,JK ST,,,CAT,,
2,5,L,15B,SQUEEZE WK SP RT BUNCH HOT 61 OUTLAW Y-SIT (67),IN A,RED BAM,IN,A,,BAM,,
1,10,L,15B,Y-FLY R-SHAVE SP RT 60 SHIRLEY X-SPACING (92),GAP,TUFF,GAP,,,TUFF,,
2,4,RM,15B,YR-WALTZ SP LT Y-STACK 61 FRESNO S-WIDE (123),BANDIT,DEUCES,BANDIT,,,DEUCES,,
2,8,R,15B,YOYO SP LT X-PILE 61 AL X-ZOOM (94),BANDIT,BINGO,BANDIT,,,BINGO,,
1,10,R,15,SP LT 60 DAYTONA CADET S-FLAT (75),IN A,SAND SAM LOCK,IN,A,,SAND,,
2,10,L,15B,Y-FLY SP RT X-PILE 60 CHEROKEE HARPOON (96),BANDIT,PIPES,BANDIT,,,PIPES,,
2,9,L,15B,YR-WALTZ SP RT WHIP 75 STAY COUCH W-CROW Z-APACHE (101),GAP,YELLOW,GAP,,,YEL,,
1,10,LM,15,R-FLY SP RT X-PILE 60 FLORIDA X-ZOOM (76),BANDIT,SNIFF ROB,BANDIT,,,SNI,,
,,,,,,,,,,,,
1,10,L,15B,YOYO SP RT RAX X-SPIRIT 2 X-SPEEDO (26),OVER,RED BAM,OVER,,,BAM,,
1,10,L,15,SP RT RAY 32 ZIMBA DUPLEX R-RAMBO (21),UND MOWI,BLACK PEEL,EVEN,,MOW,BLK,,
1,10,LM,15B,YR-WALTZ SP RT 3 R-ZAP SHIELD (14),JOK  ST JAC,HOLD,JK,,,HOLD,,
1,10,R,15B,YX-SALSA RIP SP LT 6 Y-BOSS (27),OVER DRIB,BLACK PEEL,OVER,,,BLK,,
1,10,R,15B,YX TANGO QUADS LT RAX 24 TRAIN Y-BOSS (34),RS D R,HOLD,RS D,RUN,,HOLD,,
1,10,L,15B,YX-SALSA RIP SP RT (X-CASPER GIVE) 7 Y-SPOOK (28),UNDER MOWI,BLACK PEEL,UNDER EVEN,,MOW,BLK,,
1,10,L,15B,YX-SALSA RIP SP RT 7 Y-BOSS (27),OVER,2 FLIP,OVER,,,2FLIP,,
1,10,RM,15B,YR-WALTZ SP LT 2 R-ZAP COLONEL Y-SILVER (15),JOK WK,RED BAM,JK WK,,,BAM,,
1,10,R,15B,YR-WALTZ SP LT 3 W-WHAM (1),RS D NATTY,HOLD,RS D,NATTY,,HOLD,,
1,10,R,15B,YOYO SP LT RAX X-SPIRIT 3 X-SPEEDO (26),50 W W,HOLD,50 W,,,HOLD,,
1,10,L,15B,YOYO SP RT RAX 15 TRAIN X-BASH S-SHARK (35),RS D HAMMER,HOLD,RS D RS,,HAM,HOLD,,
1,10,L,15B,YOYO SP RT RAX (X-CASPER GIVE) 8 Y-TEX S-LOAD (38),UNDER,2 FLIP,UNDER,,,2FLIP,,
1,10,LM,15B,STILL QUADS RT BUNCH RAX 15 TRAIN S-ROSE (36),OUT A,RED CHECK,OUT,A,,RED,,
,,,,,,,,,,,,
3,1,L,51,X-CHILL RHINO RT EAST/WEST LEAD (41),STOP,ZORRO,,,,,,
2,G,L,15B,SP RT WAX 75 W-POGO X-CADET (120),STOP,ZORRO,,,,,,
3,G,LM,51,X-CHILL RHINO RT POP EAST LEAD SPECIAL (130),STOP,ZORRO,,,,,,
3,1,R,51,X-CHILL RHINO LT WEST LEAD (41),STOP,ZORRO,,,,,,
2,1,R,51,X-CHILL RHINO LT POP WEST LEAD SPECIAL (130),OUTLAW,ZORRO,,,,,,
2,G,L,15B,SP RT WAX 75 W-POGO X-CADET (120),STOP,ZORRO,,,,,,
3,1,L,15B,SP RT WAR DOT X-DANCE CHAINS (42),STOP,ZORRO,,,,,,
2,G,RM,15,Y-FLY SP LT 60 CAPTAIN SHUFFLE BURP (85),STOP,ZORRO,,,,,,
2,G,R,15B,SP LT WAX 74 W-POGO X-CADET (120),STOP,ZORRO,,,,,,
2,1,R,15B,YOYO SP RT RAX X-SPIRIT 2 X-SPEEDO (26),OUTLAW,ZORRO,,,,,,
3,2,L,51,X-CHILL RHINO RT EAST/WEST LEAD (41),STOP,ZORRO,,,,,,
2,G,L,15B,Y-FLY SP RT 61 CAPTAIN SHUFFLE BURP (85),STOP,ZORRO,,,,,,
2,2,LM,51,X-CHILL RHINO RT POP EAST LEAD SPECIAL (130),OUTLAW,ZORRO,,,,,,
,,,,,,,,,,,,
1,10,L,15B,YR-WALTZ SP RT 3 R-ZAP COLONEL Y-SILVER (15),UND DRI,BLACK PEEL,,,,BLK,,
2,8,L,15B,Y-FLY SP RT X-PILE 60 BRAVES BENCH (97),STR/WK,HOLD,,,,HOLD,,
2,10,LM,15B,WK SP RT WAX 74 DIRT (124),OUT,FLOOD,OUT,,,,,
1,10,R,15B,YX-SALSA RIP SP LT (X-CASPER GIVE) 6 Y-SPOOK (28),OVER,2FLIP IN,OVER,,,2FLIP,,
2,6,R,15B,SQUEEZE WK SP LT BUNCH HOT 60 OUTLAW Y-SIT (67),IN A,GREN O,IN,A,,,,
2,5,L,15B,YR-WALTZ SP LT Y-STACK 61 FRESNO S-WIDE (123),TAR/NS,ROT SW,CASH or IN or OUT or OUT SW RPO,TAR/NS,,ROT SW,,
2,10,L,15B,Y-FLY WK SP RT WAR 61 HALIFAX (121),BANDIT,HALO CUT,BANDIT,,,HALO CUT,,
1,10,RM,24,HORSES LT TITE 39 H-TEX YW-CRACK (37),UNDER,RED BAM,UNDER,,,BAM,,
2,7,R,15B,TRIAD WK SP LT SCAT 65 W-ERIE R-DRIVE (87),GAP,BANJO,GAP,,,BANJO,,
1,10,R,15B,YX TANGO QUADS LT RAX 24 TRAIN Y-BOSS (34),WAR,HOLD,,,,,,
2,7,L,15B,SP RT RAY HOT 60 BENCH MUDD (69),BANDIT,TOONIE,,,,,,
2,4,L,15B,YR-TANGO WHIP QDS RT (R-CASPER GIVE) 2 Y-WRAP (3),CB D TAXI,BLACK M,,,,,,
1,G,LM,15B,Y-FLOAT R-DISCO QDS RT HOT 60 STICK WALL X-SIT (63),GAP RENT,GRN M,,,,,,
2,G,R,15B,SP LT WAX 74 W-POGO X-CADET (120),OVER MOWI,BLACK PEEL,,,,,,
2,G,R,15,Y-FLY SP LT 60 CAPTAIN SHUFFLE BURP (85),STOP,ZORRO,,,,,,
2,G,L,51,X-CHILL RHINO RT POP EAST LEAD SPECIAL (130),STOP,ZORRO,,,,,,
1,10,L,15B,YOYO SP RT RAX 15 TRAIN X-BASH S-SHARK (35),OVER,2 FLIP,,,,,,
3,G,RM,15,WK SP LT ZIP 61 W-POGO R-CADET (109),IN A,DEUCES M,,,,,,
