RecAlignmentInput,RecAlignment,Motion,ArriveAtMesh,ConceptInput,Concept,PFInput,PlayFamily,protection
"Twins ",22,Fly,R-Casper,2,IZ,2,2/3,60
In Tite Twins,3T2,Float,Ghost,3,IZ,3,2/3,61
Twins Hammer,23T,Disco,Spirit,23,IZ,23,2/3,64
Twins Y-TUFF,2T2,Tango,X-Casper,32,IZ,32,2/3,65
Trio,31,Salsa,Orbit,4,GAP,4,4/5,70
Trio Hammer,32T,Triad,,5,GAP,5,4/5,71
Trio Bunch,31 bun,Dance,,6,OZ,6,6/7,74
Trio Star,31 star,Trim,,7,OZ,7,6/7,75
trio tuff,3T1,Shave,,8,PERIMETER,260,260/361,76
Trio Yax Y-TUFF,31T,Expand,,9,PERIMETER,361,260/361,77
In Twins,32,Chill,,36,OZ,8,8/9,HOT-60
Out Twins,32,Flex,,27,OZ,9,8/9,HOT-61
Trio Sox,32,Waltz,,28,PERIMETER,28,8/9,scat 60
in Twins Bunch,32 bun,Trot,,39,PERIMETER,39,"8/9 ",scat 61
"spread ",32,Tornado,,260,Draw,east,east/west,"hero 60 "
spread R-on,32,Twister,,261,Draw,west,east/west,"hero 61 "
Spread YW-pair,32,Scatter,,east,"short yardage ",shield screen,shield screen,"scat 64 "
Spead X-pile,32,sail,,"west ","short yardage ",rambo,rambo/limbo,"scat 65 "
spread Y-on Z-stack,32,soar,,"rambo ",screen,limbo,rambo/limbo,"shoot 64 "
spread Y-stack,32,"hair ",,limbo,screen,ram,ram/lion,"shoot 65 "
Spread Star,32 star,"heel ",,shield screen,screen,lion,ram/lion,66
"weak spread ",23,AXE,,ram,screen,middle screen,middle screen,67
weak spread sox,23,zip,,lion,screen,rain,rain/light,"blue "
weak spread star,"23 star ",whip,,rain,screen,light,rain/light,"red "
"horses ",41,yoyo,,light,screen,steal,steal,50
horses tite,4T1,rip,,middle,screen,outlaw,outlaw,51
Quarters Hammer,41T,squeeze,,Thief,Quick,thief,thief,
"horses Bunch ","41 Bun ",track,,Spacing,Quick,stick,stick,
quads,41,trail,,Stick,quick,captain,captain,
quads Yax Y-Tuff,41T,,,steal,quick,colonel,colonel,
quads Bunch,"41 Bun ",,,outlaw,quick,erie,erie,
quads star,41 star,,,mudd,quick,aztec,aztec,
quads super star,41 star,,,dirt,quick,apache,apache,
"quads R-Bundle ",41,,,exit,quick,mohawk,mohawk,
"out Twins sox ",33,,,ELSE,Dropback,cherokee,cherokee,
Out Horses Soox,42,,,,,bob,bob,
"empty ",33,,,,,halifax,halifax,
empty sox,33,,,,,fresno,fresno,
weak spread soap,33,,,,,daytona,daytona,
Hollow,42 BUN,,,,,couch,couch,
Hollow Soap,42,,,,,Ipod,Ipod,
Quads Sox,42,,,,,mudd,mudd,
Bazooka,3T2T,,,,,spacing,spacing,
Missiles,4T1T,,,,,dirt,dirt,
Rocket,FH,,,,,exit,"exit ",
Rhino Rt,5y,,,,,cadet,cadet,
rhino Bunch,"5Y Bun ",,,,,cop,cop,
Spread RT Bunch,32 BUN,,,,,kansas,kansas,
Quads RT Bunch,41 BUN,,,,,chief,chief,
Spread LT Bunch,32 BUN,,,,,ontario,ontario,
Quads Lt Bunch,41 BUN,,,,,michigan,michigan,
sp RT,32,,,,,cobra,cobra,
SP LT,32,,,,,superior,superior,
Qds RT Bunch,41,,,,,flood,flood,
qds lt,41,,,,,beaver,beaver,
"hollow lt ",42,,,,,st. Jean,"st, jean ",
hollow rt,42,,,,,braves,braves,
hollow lt star,42 BUN,,,,,buffalo,buffalo,
"hollow rt star ","42 BUN ",,,,,duplex,duplex,
sp rt bunch,32 BUN,,,,,triplex,triplex,
"sp lt bunch ",32 BUN,,,,,tide,tide,
"sp rt star ",32 BUN,,,,,indian,indian,
"sp lt star ","32 BUN ",,,,,al,al,
"Quads RT ",41,,,,,billy,billy,
quads lt,41,,,,,houston,houston,
horses Lt tite,4T1,,,,,stem,stem,
horses rt tite,4T1,,,,,shirley,"shirley ",
,,,,,,stool,stool,
,,,,,,bench,bench,
,,,,,,pony,pony,
,,,,,,scissors,scissors,
,,,,,,clippers,clippers,
,,,,,,glance,glance,
,,,,,,harpoon,harpoon,
,,,,,,pin,pin,
,,,,,,pout,pout,
,,,,,,pogo,pogo,
,,,,,,burp,burp,
,,,,,,birch,birch,
,,,,,,cherry,cherry,
,,,,,,wall,wall,
,,,,,,win,win,
,,,,,,waldo,waldo,
,,,,,,whippet,whippet,
,,,,,,florida,florida,
,,,,,,silver,silver,
,,,,,,rake,rake,
,,,,,,rake silver,rake silver,
,,,,,,bronze,bronze,
,,,,,,rocker,rocker,
,,,,,,zephyr,zephyr,
,,,,,,"ruby ","ruby ",
,,,,,,fence,fence,
,,,,,,bulldog,bulldog,
,,,,,,race,race,
,,,,,,,,
,,,,,,,,
